act,sid,start,end,dur,narration,on_screen_text,screen_direction,camera_note,designer_wanted,now_is,plate_file,narration_from_audio
ACT1-2,A1-01,0:30.00,0:32.44,2.44,영상이 끝날 때는 세 문장이 남게 됩니다.,,,lead-in to 32.44,생성영상,생성영상,ACT1-2_150s/01_t032.44s_x4cuts.png,영상이 끝날 때는 세 문장이 남게 됩니다.
ACT1-2,A1-02,0:32.44,0:36.80,4.36,먼저 왜 선택이 어려워졌는지부터 보겠습니다. / 처음 일을 시작할 때는 비교 기준이 비교적 단순합니다.,,,먼저 왜 선택이 어려워졌는지부터 보겠습니다 — noun arrives on the sealed stack,생성영상,생성영상,ACT1-2_150s/01_t032.44s_x4cuts.png,먼저 왜 선택이 어려워졌는지부터 보겠습니다. / 처음 일을 시작할 때는 비교 기준이 비교적 단순합니다.
ACT1-2,A1-03,0:36.80,0:40.80,4.0,"처음 일을 시작할 때는 비교 기준이 비교적 단순합니다. / 해보고 싶은 직무인지, 배울 수 있는지, 생활을 유지할 조건인지 봅니다.",,,"4° arc, paper edges and thread thickness, stack stays shut",생성영상,생성영상,ACT1-2_150s/01_t032.44s_x4cuts.png,"처음 일을 시작할 때는 비교 기준이 비교적 단순합니다. / 해보고 싶은 직무인지, 배울 수 있는지, 생활을 유지할 조건인지 봅니다."
ACT1-2,A1-04,0:40.80,0:44.80,4.0,"해보고 싶은 직무인지, 배울 수 있는지, 생활을 유지할 조건인지 봅니다.",,,"conclusion — pull back, recover the same silhouette",생성영상,생성영상,ACT1-2_150s/01_t032.44s_x4cuts.png,"해보고 싶은 직무인지, 배울 수 있는지, 생활을 유지할 조건인지 봅니다."
ACT1-2,A1-05,0:44.80,0:49.00,4.2,"그런데 3년, 5년, 7년이 지나면 고려할 것이 많아집니다.",,,"그런데 3년, 5년, 7년이 지나면 고려할 것이 많아집니다",생성영상,생성영상,ACT1-2_150s/02_t044.80s_x3cuts.png,"그런데 3년, 5년, 7년이 지나면 고려할 것이 많아집니다."
ACT1-2,A1-06,0:49.00,0:53.00,4.0,"잘하는 일과 계속하고 싶은 일이 다를 수 있고, / 더 좋은 조건과 더 맞는 방식이 엇갈릴 수도 있습니다.",,,verb pierces — macro travel inside the stacked-paper cross-section,생성영상,생성영상,ACT1-2_150s/02_t044.80s_x3cuts.png,"잘하는 일과 계속하고 싶은 일이 다를 수 있고, / 더 좋은 조건과 더 맞는 방식이 엇갈릴 수도 있습니다."
ACT1-2,A1-07,0:53.00,0:56.18,3.18,더 좋은 조건과 더 맞는 방식이 엇갈릴 수도 있습니다.,,,"conclusion — retreat, same desk and key, roughly 3x thicker",생성영상,생성영상,ACT1-2_150s/02_t044.80s_x3cuts.png,더 좋은 조건과 더 맞는 방식이 엇갈릴 수도 있습니다.
ACT1-2,A1-08,0:56.18,1:00.64,4.46,선택지가 없어서가 아니라 선택을 평가할 항목이 많아진 것입니다. / 선택지는 늘고 기준은 흐려집니다.,,,선택지가 없어서가 아니라 선택을 평가할 항목이 많아진 것입니다 — top-down fan reveal,생성영상,생성영상,ACT1-2_150s/03_t056.18s_x2cuts.png,선택지가 없어서가 아니라 선택을 평가할 항목이 많아진 것입니다. / 선택지는 늘고 기준은 흐려집니다.
ACT1-2,A1-09,1:00.64,1:05.00,4.36,선택지는 늘고 기준은 흐려집니다. / 이럴 때 우리는 미래에서 정답을 찾으려 합니다.,선택지는 늘고 기준은 흐려집니다,,"glass panel hold — 1.5% push, glyph pixels preserved, no orb",정지+카메라,정지+카메라,ACT1-2_150s/04_t060.64s_x1cuts.png,선택지는 늘고 기준은 흐려집니다. / 이럴 때 우리는 미래에서 정답을 찾으려 합니다.
ACT1-2,A1-10,1:05.00,1:09.00,4.0,"이럴 때 우리는 미래에서 정답을 찾으려 합니다. / 유망한 산업, 좋은 회사, 인기 있는 직무를 검색합니다.",,,thought extends — lateral parallax along the layer edges,생성영상,생성영상,ACT1-2_150s/03_t056.18s_x2cuts.png,"이럴 때 우리는 미래에서 정답을 찾으려 합니다. / 유망한 산업, 좋은 회사, 인기 있는 직무를 검색합니다."
